
########################################################################## 
################################ Settings ################################ 
########################################################################## 

Note: Using Linear eps. decay. + distance to apple reward.

####### Environment settings ####### : 
screen_size: (600, 600)
snake_block_size: (30, 30)
grid_size: 20
apple_reward: 2.0
death_punishment: -2.0
closer_2_apple_reward: 0.0005
longer_from_apple_punishment: -0.0005
max_iterations: 2000


####### Hyperparameters ####### : 
batch_size: 128
 gamma: 0.99
 initial_epsilon: 1.0
 minimal_epsilon: 0.0
 epsilon_decay_rate: 0.02
 target_update_frequency: 10
 learning_rate: 0.0001
 memory_size: 1000000
 n_episodes: 900
 
####### Optimizer ####### : 
Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    eps: 1e-08
    foreach: None
    lr: 0.0001
    maximize: False
    weight_decay: 0
)

####### Loss function ####### : 
MSELoss()

####### Network structure #######: 
DeepQNetwork(
  (lin1): Linear(in_features=18, out_features=540, bias=True)
  (lin2): Linear(in_features=540, out_features=540, bias=True)
  (lin3): Linear(in_features=540, out_features=540, bias=True)
  (lin4): Linear(in_features=540, out_features=540, bias=True)
  (lin5): Linear(in_features=540, out_features=540, bias=True)
  (lin6): Linear(in_features=540, out_features=270, bias=True)
  (lin7): Linear(in_features=270, out_features=4, bias=True)
  (rectifier1): ReLU()
)

########################################################################## 
################################## DATA ################################## 
########################################################################## 
    steps:              scores:             rewards:             epsilon:
       2.0                  0.0              -2.0015                  1.0
      40.0                  0.0              -2.0045                  1.0
      25.0                  0.0  -2.0020000000000002                  1.0
       6.0                  0.0  -1.9985000000000002                  1.0
       8.0                  0.0              -2.0045                  1.0
      21.0                  0.0  -1.9980000000000002                  1.0
      85.0                  0.0               -2.004                 0.88
     118.0                  0.0  -1.9945000000000002                 0.86
      55.0                  0.0  -2.0010000000000003                 0.84
      65.0                  0.0  -1.9980000000000002   0.8200000000000001
      56.0                  0.0              -2.0125                  0.8
      42.0                  1.0 0.008500000000001506                 0.78
      82.0                  1.0  0.00749999999999984                 0.76
      12.0                  0.0              -2.0015                 0.74
      12.0                  0.0              -2.0025                 0.72
      16.0                  0.0              -2.0015                  0.7
      56.0                  0.0  -1.9995000000000003   0.6799999999999999
     113.0                  1.0 0.011000000000001897   0.6599999999999999
      52.0                  0.0  -1.9965000000000002                 0.64
     295.0                  1.0 0.017000000000002125                 0.62
     122.0                  1.0 -0.0055000000000002824                  0.6
     136.0                  1.0  0.01650000000000329   0.5800000000000001
      17.0                  0.0  -2.0010000000000003                 0.56
      32.0                  0.0              -2.0095                 0.54
      35.0                  0.0               -1.987                 0.52
     183.0                  1.0 0.005000000000000782                  0.5
     287.0                  2.0                2.028                 0.48
     182.0                  1.0 0.012500000000003286  0.45999999999999996
       1.0                  0.0                 -2.0  0.43999999999999995
     141.0                  0.0  -2.0010000000000003  0.42000000000000004
      51.0                  0.0                 -2.0                  0.4
      79.0                  2.0    2.019999999999999                 0.38
      28.0                  0.0  -1.9965000000000002                 0.36
     121.0                  0.0               -1.997  0.33999999999999997
      32.0                  0.0              -2.0045  0.31999999999999995
     201.0                  4.0    6.018999999999996  0.29999999999999993
      17.0                  1.0 0.0030000000000001137                 0.28
     252.0                  3.0    4.016500000000001                 0.26
     257.0                  2.0   2.0289999999999977                 0.24
     143.0                  3.0    4.013000000000002  0.21999999999999997
     261.0                  3.0    4.023999999999996  0.19999999999999996
      19.0                  1.0 0.0030000000000001137  0.17999999999999994
     136.0                  5.0    8.035500000000008  0.16000000000000003
      40.0                  1.0 0.004499999999998838                 0.14
     300.0                  4.0    6.036499999999993                 0.12
     297.0                  4.0    6.018999999999999  0.09999999999999998
     223.0                  2.0    2.015000000000002  0.07999999999999996
     120.0                  5.0    8.032500000000006  0.05999999999999994
     182.0                  9.0   16.069499999999998 0.040000000000000036
     223.0                  4.0    6.039999999999997 0.020000000000000018
      99.0                  6.0    10.04000000000001                  0.0
     108.0                  6.0   10.031500000000005                  0.0
     127.0                  6.0   10.040000000000015                  0.0
     277.0                 12.0   22.066999999999965                  0.0
     258.0                 12.0   22.088499999999954                  0.0
     127.0                  6.0   10.033000000000017                  0.0
