
########################################################################## 
################################ Settings ################################ 
########################################################################## 

Note: Using Linear eps. decay. + distance to apple reward.

####### Environment settings ####### : 
screen_size: (600, 600)
snake_block_size: (30, 30)
grid_size: 20
apple_reward: 2.0
death_punishment: -2.0
closer_2_apple_reward: 0.0005
longer_from_apple_punishment: -0.0005
max_iterations: 2000


####### Hyperparameters ####### : 
batch_size: 128
 gamma: 0.99
 initial_epsilon: 1.0
 minimal_epsilon: 0.0
 epsilon_decay_rate: 0.02
 target_update_frequency: 10
 learning_rate: 0.0001
 memory_size: 1000000
 n_episodes: 900
 
####### Optimizer ####### : 
Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    eps: 1e-08
    foreach: None
    lr: 0.0001
    maximize: False
    weight_decay: 0
)

####### Loss function ####### : 
MSELoss()

####### Network structure #######: 
DeepQNetwork(
  (lin1): Linear(in_features=18, out_features=540, bias=True)
  (lin6): Linear(in_features=540, out_features=270, bias=True)
  (lin7): Linear(in_features=270, out_features=4, bias=True)
  (rectifier1): ReLU()
)

########################################################################## 
################################## DATA ################################## 
########################################################################## 
    steps:              scores:             rewards:             epsilon:
       0.0                  0.0              -2.0005                  1.0
      12.0                  0.0              -2.0025                  1.0
      34.0                  1.0 -0.0005000000000012772                  1.0
       4.0                  0.0  -1.9985000000000002                  1.0
      39.0                  0.0  -2.0050000000000003                  1.0
      88.0                  0.0  -2.0075000000000003                  0.9
      24.0                  0.0              -2.0065                 0.88
       6.0                  0.0              -2.0025                 0.86
      20.0                  0.0              -2.0025                 0.84
       8.0                  0.0              -2.0025   0.8200000000000001
      13.0                  0.0               -1.999                  0.8
      41.0                  0.0  -2.0010000000000003                 0.78
       8.0                  0.0              -2.0015                 0.76
     277.0                  0.0  -2.0050000000000003                 0.74
      92.0                  1.0 0.0004999999999988347                 0.72
      42.0                  0.0              -2.0005                  0.7
     130.0                  0.0  -1.9975000000000003   0.6799999999999999
      28.0                  0.0  -1.9975000000000003   0.6599999999999999
       5.0                  0.0                 -2.0                 0.64
      85.0                  0.0               -1.991                 0.62
     172.0                  1.0 0.005500000000000949                  0.6
      37.0                  0.0               -1.999   0.5800000000000001
      16.0                  0.0  -1.9965000000000002                 0.56
     345.0                  4.0    6.010999999999991                 0.54
       1.0                  0.0  -2.0010000000000003                 0.52
    1007.0                  2.0    2.004000000000007                  0.5
     663.0                  0.0  -2.0010000000000003                 0.48
      20.0                  0.0              -2.0015  0.45999999999999996
       3.0                  0.0  -2.0020000000000002  0.43999999999999995
     491.0                  1.0  0.01100000000000012  0.42000000000000004
     223.0                  1.0 0.0029999999999996696                  0.4
     409.0                  2.0    2.019999999999999                 0.38
     160.0                  3.0    4.019500000000001                 0.36
      11.0                  0.0               -1.997  0.33999999999999997
     172.0                  0.0              -2.0025  0.31999999999999995
     135.0                  0.0               -1.995  0.29999999999999993
     398.0                  4.0    6.015499999999999                 0.28
     189.0                  0.0                 -2.0                 0.26
    2000.0                  0.0 0.007500000000000003                 0.24
    1611.0                  4.0   6.0230000000000015  0.21999999999999997
      79.0                  0.0                 -2.0  0.19999999999999996
    1267.0                  2.0   2.0069999999999983  0.17999999999999994
       5.0                  0.0  -1.9980000000000002  0.16000000000000003
       8.0                  0.0              -2.0045                 0.14
     221.0                  1.0 0.013000000000000345                 0.12
     356.0                  4.0    6.020500000000002  0.09999999999999998
     188.0                  1.0 0.011499999999999844  0.07999999999999996
    1584.0                  5.0     8.03550000000001  0.05999999999999994
    2059.0                  5.0    8.042000000000009 0.040000000000000036
    2000.0                  0.0               0.0005 0.020000000000000018
     367.0                  8.0   14.051000000000018                  0.0
    2571.0                 18.0   34.103000000000016                  0.0
     763.0                  4.0    6.023999999999995                  0.0
    2886.0                 43.0     84.2645000000008                  0.0
    1293.0                 25.0    48.18600000000022                  0.0
    2234.0                 29.0    56.17350000000031                  0.0
    2093.0                 46.0    90.34600000000093                  0.0
    1047.0                 36.0    70.22900000000048                  0.0
    2292.0                 49.0    96.32050000000076                  0.0
    1206.0                 24.0    46.15650000000018                  0.0
    2253.0                 48.0    94.32500000000086                  0.0
    1465.0                 43.0     84.2840000000007                  0.0
     151.0                  8.0   14.063000000000033                  0.0
    1090.0                 41.0    80.28950000000067                  0.0
    1292.0                 49.0    96.34750000000105                  0.0
    1365.0                 47.0    92.32800000000097                  0.0
    1759.0                 51.0   100.34600000000098                  0.0
     823.0                 38.0     74.2520000000006                  0.0
    1870.0                 47.0    92.25950000000066                  0.0
     865.0                 44.0    86.29900000000094                  0.0
    1660.0                 52.0   102.33250000000102                  0.0
     328.0                 19.0    36.13649999999996                  0.0
    1853.0                 56.0   110.35900000000112                  0.0
    2142.0                 60.0   118.36550000000128                  0.0
     850.0                 41.0    80.28950000000079                  0.0
     584.0                 37.0    72.21650000000051                  0.0
    1089.0                 42.0    82.22700000000043                  0.0
    1329.0                 45.0    88.33700000000097                  0.0
    2772.0                 60.0   118.40150000000129                  0.0
    2719.0                 72.0   142.45099999999968                  0.0
    1865.0                 64.0   126.45400000000164                  0.0
    1903.0                 66.0   130.45100000000141                  0.0
    1067.0                 45.0    88.32200000000078                  0.0
    1148.0                 45.0    88.29850000000084                  0.0
    2199.0                 66.0   130.43200000000127                  0.0
    1841.0                 65.0   128.41200000000134                  0.0
    1546.0                 58.0    114.3495000000011                  0.0
    1068.0                 51.0   100.31150000000093                  0.0
    1386.0                 55.0   108.35450000000118                  0.0
    1703.0                 63.0   124.45600000000151                  0.0
    1400.0                 58.0   114.38450000000121                  0.0
    1499.0                 56.0   110.36500000000117                  0.0
    1164.0                 53.0   104.40650000000126                  0.0
     651.0                 37.0    72.23000000000054                  0.0
    1240.0                 56.0   110.38550000000126                  0.0
    1078.0                 44.0    86.32150000000085                  0.0
    1166.0                 50.0    98.34050000000093                  0.0
    1043.0                 48.0    94.34200000000102                  0.0
    1324.0                 56.0   110.37750000000128                  0.0
    1496.0                 58.0   114.38250000000119                  0.0
    1441.0                 60.0   118.42700000000134                  0.0
     766.0                 38.0    74.27950000000078                  0.0
    1845.0                 62.0   122.45400000000167                  0.0
    1266.0                 50.0    98.30350000000095                  0.0
    1610.0                 60.0   118.40250000000138                  0.0
    2100.0                 70.0   138.49850000000023                  0.0
    1134.0                 48.0    94.29750000000078                  0.0
    1369.0                 67.0   132.43400000000113                  0.0
     868.0                 43.0    84.31650000000079                  0.0
     950.0                 47.0    92.35350000000108                  0.0
     457.0                 26.0    50.17500000000018                  0.0
     686.0                 35.0    68.20950000000042                  0.0
    1330.0                 54.0   106.33250000000103                  0.0
     755.0                 40.0    78.24900000000054                  0.0
    1824.0                 68.0   134.45350000000113                  0.0
    1877.0                 68.0   134.48700000000088                  0.0
    1253.0                 56.0   110.40300000000144                  0.0
     461.0                 30.0    58.21000000000036                  0.0
     306.0                 19.0    36.14349999999998                  0.0
     147.0                 14.0   26.067999999999948                  0.0
    1755.0                 60.0    118.4460000000013                  0.0
    1644.0                 61.0   120.40850000000123                  0.0
     503.0                 31.0    60.21400000000049                  0.0
    1171.0                 52.0   102.37500000000108                  0.0
    2295.0                 71.0   140.51400000000064                  0.0
    1652.0                 59.0   116.46150000000156                  0.0
    1065.0                 56.0   110.36200000000115                  0.0
     879.0                 47.0    92.35500000000093                  0.0
     719.0                 42.0    82.26400000000073                  0.0
     253.0                 16.0   30.108999999999885                  0.0
    1209.0                 53.0   104.34800000000105                  0.0
    1867.0                 66.0   130.45400000000123                  0.0
     711.0                 36.0    70.22800000000043                  0.0
    1057.0                 50.0    98.32300000000104                  0.0
     629.0                 35.0    68.21700000000035                  0.0
     642.0                 37.0    72.22850000000054                  0.0
    1048.0                 47.0    92.29550000000091                  0.0
     867.0                 47.0     92.2960000000009                  0.0
     858.0                 42.0    82.29350000000082                  0.0
    1460.0                 62.0   122.44650000000142                  0.0
     985.0                 48.0    94.32600000000095                  0.0
    1397.0                 63.0   124.45100000000144                  0.0
    1459.0                 57.0   112.38700000000121                  0.0
    1017.0                 46.0    90.31100000000076                  0.0
    1614.0                 61.0   120.46650000000142                  0.0
    1402.0                 58.0   114.38450000000111                  0.0
     714.0                 37.0    72.27650000000078                  0.0
    1882.0                 73.0   144.50149999999957                  0.0
     964.0                 44.0    86.33950000000098                  0.0
     823.0                 47.0    92.31200000000099                  0.0
     173.0                 13.0   24.078999999999965                  0.0
     373.0                 27.0     52.1620000000002                  0.0
     985.0                 53.0    104.3950000000014                  0.0
    1883.0                 72.0   142.42200000000037                  0.0
     524.0                 29.0    56.19550000000022                  0.0
    1044.0                 55.0    108.3445000000011                  0.0
    1629.0                 72.0    142.4669999999997                  0.0
     906.0                 41.0    80.29250000000066                  0.0
    1106.0                 57.0   112.37350000000129                  0.0
    1617.0                 65.0   128.47000000000142                  0.0
     746.0                 38.0    74.25850000000052                  0.0
     463.0                 26.0    50.16900000000023                  0.0
    1182.0                 54.0   106.34350000000114                  0.0
    1302.0                 62.0   122.41650000000132                  0.0
     735.0                 42.0     82.3070000000007                  0.0
     997.0                 55.0   108.33400000000098                  0.0
    1080.0                 59.0   116.40350000000134                  0.0
     813.0                 43.0    84.28600000000084                  0.0
    1567.0                 70.0   138.46600000000038                  0.0
    2035.0                 75.0   148.48999999999953                  0.0
    1099.0                 51.0   100.36600000000102                  0.0
    1978.0                 71.0   140.47350000000068                  0.0
     921.0                 49.0    96.33600000000094                  0.0
     597.0                 34.0    66.24300000000045                  0.0
     373.0                 24.0    46.16500000000016                  0.0
     927.0                 48.0    94.33500000000105                  0.0
    1058.0                 55.0   108.34150000000106                  0.0
    1024.0                 44.0    86.32450000000092                  0.0
    1324.0                 59.0   116.46950000000152                  0.0
    1381.0                 58.0   114.35100000000122                  0.0
    1498.0                 67.0   132.42750000000126                  0.0
    1420.0                 63.0   124.39450000000133                  0.0
    1322.0                 57.0   112.39150000000126                  0.0
    1272.0                 62.0   122.39550000000119                  0.0
