
########################################################################## 
################################ Settings ################################ 
########################################################################## 

Using linear eps. decay. 
####### Hyperparameters ####### : 
batch_size: 64
 gamma: 0.96
 initial_epsilon: 1.0
 minimal_epsilon: 0.001
 epsilon_decay_rate: 0.002
 target_update_frequency: 50
 learning_rate: 2.5e-05
 memory_size: 1000000
 n_episodes: 670
 
####### Optimizer ####### : 
 Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    eps: 1e-08
    foreach: None
    lr: 2.5e-05
    maximize: False
    weight_decay: 0
)

####### Loss function ####### : 
 MSELoss()

####### Network structure #######: 
 DeepQNetwork(
  (lin1): Linear(in_features=18, out_features=360, bias=True)
  (lin2): Linear(in_features=360, out_features=180, bias=True)
  (lin3): Linear(in_features=180, out_features=4, bias=True)
  (rectifier): ReLU()
)

########################################################################## 
################################## DATA ################################## 
########################################################################## 
              steps:              scores:             epsilon:
                35.0                  0.0   0.8200000000000001
                82.0                  0.0   0.8180000000000001
               124.0                  0.0   0.8160000000000001
                24.0                  0.0   0.8140000000000001
                 1.0                  0.0                0.812
                40.0                  0.0                 0.81
                58.0                  0.0                0.808
               152.0                  0.0                0.806
               135.0                  2.0                0.804
                73.0                  2.0                0.802
                82.0                  0.0                  0.8
                45.0                  0.0                0.798
                 0.0                  0.0                0.796
                 1.0                  0.0                0.794
                 1.0                  0.0                0.792
                53.0                  0.0                 0.79
                13.0                  0.0                0.788
                46.0                  1.0                0.786
                18.0                  1.0                0.784
               122.0                  1.0                0.782
                25.0                  0.0                 0.78
               157.0                  2.0                0.778
                68.0                  0.0                0.776
               134.0                  5.0                0.774
                 1.0                  0.0                0.772
               435.0                  4.0                 0.77
                89.0                  1.0                0.768
                 8.0                  0.0                0.766
                69.0                  2.0                0.764
                 9.0                  0.0                0.762
                 3.0                  0.0                 0.76
                 1.0                  0.0                0.758
               104.0                  2.0                0.756
                46.0                  0.0                0.754
                47.0                  1.0                0.752
                 5.0                  0.0                 0.75
                16.0                  0.0                0.748
                 2.0                  0.0                0.746
                73.0                  1.0                0.744
                34.0                  0.0                0.742
                82.0                  0.0                 0.74
               219.0                  2.0                0.738
                 3.0                  0.0                0.736
                 8.0                  0.0                0.734
                17.0                  1.0                0.732
               204.0                  1.0                 0.73
               113.0                  2.0                0.728
                90.0                  0.0                0.726
               174.0                  3.0                0.724
                49.0                  1.0                0.722
                83.0                  0.0                 0.72
                57.0                  0.0                0.718
               209.0                  3.0                0.716
                11.0                  0.0                0.714
               113.0                  1.0                0.712
                59.0                  2.0                 0.71
                 7.0                  0.0                0.708
                40.0                  1.0                0.706
                 7.0                  1.0                0.704
                81.0                  2.0                0.702
               376.0                  4.0                  0.7
                21.0                  1.0                0.698
               118.0                  0.0                0.696
               127.0                  2.0                0.694
                 0.0                  0.0                0.692
               157.0                  5.0                 0.69
                91.0                  2.0                0.688
                 0.0                  0.0   0.6859999999999999
               114.0                  0.0   0.6839999999999999
               141.0                  1.0   0.6819999999999999
                22.0                  0.0   0.6799999999999999
                 2.0                  0.0   0.6779999999999999
                32.0                  0.0   0.6759999999999999
               102.0                  2.0   0.6739999999999999
                 7.0                  0.0   0.6719999999999999
                10.0                  0.0   0.6699999999999999
                95.0                  1.0   0.6679999999999999
                17.0                  0.0   0.6659999999999999
                47.0                  0.0   0.6639999999999999
                 7.0                  1.0   0.6619999999999999
                43.0                  0.0   0.6599999999999999
                52.0                  1.0   0.6579999999999999
                73.0                  1.0   0.6559999999999999
                31.0                  0.0   0.6539999999999999
                93.0                  2.0   0.6519999999999999
               399.0                  4.0   0.6499999999999999
                 4.0                  0.0                0.648
               212.0                  0.0                0.646
                 8.0                  0.0                0.644
                 0.0                  0.0                0.642
               152.0                  5.0                 0.64
                 6.0                  0.0                0.638
                 5.0                  0.0                0.636
                 5.0                  0.0                0.634
                98.0                  2.0                0.632
                14.0                  0.0                 0.63
               189.0                  4.0                0.628
                89.0                  1.0                0.626
                 2.0                  0.0                0.624
                 1.0                  0.0                0.622
                85.0                  6.0                 0.62
               134.0                  3.0                0.618
                41.0                  2.0                0.616
                72.0                  2.0                0.614
                19.0                  1.0                0.612
                40.0                  0.0                 0.61
                56.0                  1.0                0.608
                78.0                  4.0                0.606
               156.0                  4.0                0.604
                 1.0                  0.0                0.602
                73.0                  1.0                  0.6
               152.0                  4.0                0.598
                92.0                  4.0                0.596
               106.0                  4.0                0.594
               124.0                  5.0                0.592
                50.0                  1.0                 0.59
               131.0                  1.0                0.588
                 5.0                  0.0                0.586
                14.0                  1.0                0.584
               126.0                  3.0   0.5820000000000001
                34.0                  3.0   0.5800000000000001
                86.0                  5.0   0.5780000000000001
                59.0                  2.0   0.5760000000000001
                65.0                  1.0   0.5740000000000001
               169.0                  2.0   0.5720000000000001
               124.0                  2.0   0.5700000000000001
               142.0                  4.0   0.5680000000000001
                49.0                  1.0   0.5660000000000001
                56.0                  1.0   0.5640000000000001
                11.0                  1.0                0.562
                98.0                  4.0                 0.56
                 3.0                  0.0                0.558
               162.0                  4.0                0.556
               136.0                  4.0                0.554
               125.0                  5.0                0.552
                 1.0                  0.0                 0.55
               196.0                  4.0                0.548
               180.0                  4.0                0.546
               184.0                  1.0                0.544
               100.0                  4.0                0.542
                 0.0                  0.0                 0.54
               136.0                  2.0                0.538
                56.0                  1.0                0.536
               129.0                  4.0                0.534
               105.0                  2.0                0.532
               195.0                  6.0                 0.53
               120.0                  3.0                0.528
                 9.0                  0.0                0.526
                78.0                  3.0                0.524
                19.0                  0.0                0.522
                29.0                  0.0                 0.52
                23.0                  1.0                0.518
               174.0                  4.0                0.516
               133.0                  5.0                0.514
               107.0                  6.0                0.512
                63.0                  2.0                 0.51
                41.0                  1.0                0.508
                25.0                  0.0                0.506
                43.0                  2.0                0.504
                10.0                  0.0                0.502
                18.0                  1.0                  0.5
                62.0                  2.0                0.498
               103.0                  4.0                0.496
                34.0                  2.0                0.494
                85.0                  5.0                0.492
               215.0                  7.0                 0.49
                 8.0                  0.0                0.488
                47.0                  3.0                0.486
               110.0                  3.0                0.484
                60.0                  0.0                0.482
                21.0                  1.0                 0.48
               118.0                  3.0                0.478
                21.0                  1.0                0.476
               113.0                  3.0                0.474
                81.0                  4.0                0.472
                35.0                  1.0                 0.47
               102.0                  4.0  0.46799999999999997
                57.0                  1.0  0.46599999999999997
               119.0                  3.0  0.46399999999999997
                86.0                  5.0  0.46199999999999997
                59.0                  4.0  0.45999999999999996
               200.0                  5.0  0.45799999999999996
                38.0                  1.0  0.45599999999999996
                 0.0                  0.0  0.45399999999999996
                52.0                  3.0  0.45199999999999996
                30.0                  0.0  0.44999999999999996
               141.0                  6.0  0.44799999999999995
                40.0                  2.0  0.44599999999999995
                44.0                  3.0  0.44399999999999995
                 6.0                  0.0  0.44199999999999995
                 4.0                  0.0  0.43999999999999995
               108.0                  4.0  0.43799999999999994
                73.0                  2.0  0.43599999999999994
               124.0                  4.0  0.43399999999999994
                 3.0                  0.0  0.43199999999999994
               103.0                  3.0  0.42999999999999994
               164.0                  5.0  0.42799999999999994
                60.0                  4.0  0.42599999999999993
                99.0                  4.0  0.42399999999999993
                12.0                  0.0  0.42200000000000004
                36.0                  2.0  0.42000000000000004
                11.0                  0.0  0.41800000000000004
                96.0                  4.0  0.41600000000000004
                42.0                  3.0  0.41400000000000003
               224.0                  7.0  0.41200000000000003
                13.0                  0.0  0.41000000000000003
               106.0                  4.0  0.40800000000000003
                50.0                  1.0                0.406
                50.0                  3.0                0.404
               160.0                  4.0                0.402
                59.0                  4.0                  0.4
               197.0                 10.0                0.398
                 5.0                  0.0                0.396
               139.0                  7.0                0.394
                77.0                  5.0                0.392
                21.0                  0.0                 0.39
                73.0                  4.0                0.388
                62.0                  2.0                0.386
                20.0                  1.0                0.384
               173.0                  9.0                0.382
               134.0                  6.0                 0.38
               118.0                  3.0                0.378
                34.0                  0.0                0.376
                13.0                  1.0                0.374
                 8.0                  1.0                0.372
               203.0                 10.0                 0.37
               120.0                  5.0                0.368
                69.0                  4.0                0.366
                22.0                  2.0                0.364
                34.0                  1.0                0.362
                69.0                  5.0                 0.36
               174.0                  7.0                0.358
               138.0                  6.0                0.356
               131.0                  6.0                0.354
               104.0                  4.0                0.352
                94.0                  6.0                 0.35
               112.0                  5.0                0.348
                86.0                  5.0                0.346
                 7.0                  0.0                0.344
                67.0                  3.0  0.34199999999999997
               124.0                  5.0  0.33999999999999997
                24.0                  1.0  0.33799999999999997
                22.0                  1.0  0.33599999999999997
               144.0                  6.0  0.33399999999999996
               178.0                  6.0  0.33199999999999996
               121.0                  5.0  0.32999999999999996
                14.0                  0.0  0.32799999999999996
                40.0                  4.0  0.32599999999999996
               233.0                  8.0  0.32399999999999995
                54.0                  3.0  0.32199999999999995
                89.0                  6.0  0.31999999999999995
                49.0                  3.0  0.31799999999999995
                89.0                  4.0  0.31599999999999995
                 5.0                  0.0  0.31399999999999995
               149.0                  7.0  0.31199999999999994
                88.0                  5.0  0.30999999999999994
               106.0                  6.0  0.30799999999999994
                49.0                  3.0  0.30599999999999994
                 9.0                  1.0  0.30399999999999994
                55.0                  2.0  0.30199999999999994
               258.0                  8.0  0.29999999999999993
                23.0                  1.0  0.29799999999999993
               113.0                  6.0  0.29600000000000004
                97.0                  6.0  0.29400000000000004
               191.0                 12.0  0.29200000000000004
                28.0                  0.0  0.29000000000000004
                 9.0                  0.0  0.28800000000000003
                80.0                  4.0  0.28600000000000003
                60.0                  3.0  0.28400000000000003
               249.0                  9.0  0.28200000000000003
               201.0                  7.0                 0.28
                75.0                  5.0                0.278
                99.0                  4.0                0.276
               158.0                  4.0                0.274
               142.0                  8.0                0.272
               167.0                  8.0                 0.27
                85.0                  5.0                0.268
                 4.0                  0.0                0.266
                50.0                  3.0                0.264
                20.0                  1.0                0.262
               190.0                 12.0                 0.26
                77.0                  5.0                0.258
               172.0                  9.0                0.256
               173.0                 11.0                0.254
                43.0                  2.0                0.252
               235.0                 12.0                 0.25
                13.0                  0.0                0.248
                96.0                  8.0                0.246
               253.0                 15.0                0.244
                62.0                  4.0                0.242
               153.0                  5.0                 0.24
               203.0                 12.0                0.238
                98.0                  5.0                0.236
               208.0                 11.0  0.23399999999999999
               179.0                  8.0  0.23199999999999998
                36.0                  2.0  0.22999999999999998
                82.0                  3.0  0.22799999999999998
                94.0                  5.0  0.22599999999999998
                63.0                  3.0  0.22399999999999998
               125.0                  6.0  0.22199999999999998
               185.0                  8.0  0.21999999999999997
               450.0                 20.0  0.21799999999999997
               137.0                  5.0  0.21599999999999997
                67.0                  4.0  0.21399999999999997
               157.0                  7.0  0.21199999999999997
                42.0                  3.0  0.20999999999999996
                36.0                  2.0  0.20799999999999996
               276.0                 15.0  0.20599999999999996
                44.0                  2.0  0.20399999999999996
               148.0                 10.0  0.20199999999999996
                26.0                  1.0  0.19999999999999996
               178.0                 10.0  0.19799999999999995
               129.0                  8.0  0.19599999999999995
               137.0                  8.0  0.19399999999999995
               113.0                  6.0  0.19199999999999995
                73.0                  6.0  0.18999999999999995
               267.0                 13.0  0.18799999999999994
                45.0                  3.0  0.18599999999999994
               146.0                 10.0  0.18399999999999994
               150.0                 14.0  0.18199999999999994
                14.0                  1.0  0.17999999999999994
                12.0                  1.0  0.17799999999999994
               147.0                 10.0  0.17599999999999993
               231.0                 12.0  0.17399999999999993
               191.0                  9.0  0.17199999999999993
               327.0                 17.0  0.16999999999999993
               104.0                  6.0  0.16799999999999993
               120.0                  6.0  0.16600000000000004
               156.0                  8.0  0.16400000000000003
                81.0                  3.0  0.16200000000000003
               323.0                 16.0  0.16000000000000003
                 4.0                  0.0  0.15800000000000003
               186.0                 10.0  0.15600000000000003
                 2.0                  0.0  0.15400000000000003
                88.0                  5.0  0.15200000000000002
                19.0                  1.0  0.15000000000000002
                51.0                  2.0  0.14800000000000002
                71.0                  4.0  0.14600000000000002
               327.0                 20.0  0.14400000000000002
               113.0                  7.0  0.14200000000000002
               202.0                 11.0                 0.14
                43.0                  3.0                0.138
               114.0                  8.0                0.136
               226.0                 15.0                0.134
               224.0                 12.0                0.132
               438.0                 26.0                 0.13
                78.0                  3.0                0.128
               347.0                 19.0                0.126
               148.0                  9.0                0.124
               136.0                  6.0                0.122
               165.0                 10.0                 0.12
               236.0                 17.0                0.118
               247.0                 12.0  0.11599999999999999
               232.0                 15.0  0.11399999999999999
                62.0                  5.0  0.11199999999999999
                54.0                  3.0  0.10999999999999999
               143.0                 13.0  0.10799999999999998
               220.0                 11.0  0.10599999999999998
               153.0                  6.0  0.10399999999999998
               155.0                 12.0  0.10199999999999998
               555.0                 26.0  0.09999999999999998
               394.0                 24.0  0.09799999999999998
               126.0                  9.0  0.09599999999999997
                53.0                  2.0  0.09399999999999997
               231.0                 13.0  0.09199999999999997
               467.0                 28.0  0.08999999999999997
                34.0                  4.0  0.08799999999999997
                95.0                  5.0  0.08599999999999997
               285.0                 14.0  0.08399999999999996
                 5.0                  0.0  0.08199999999999996
               181.0                 10.0  0.07999999999999996
               180.0                 16.0  0.07799999999999996
               184.0                 11.0  0.07599999999999996
               194.0                 11.0  0.07399999999999995
               501.0                 27.0  0.07199999999999995
               232.0                 16.0  0.06999999999999995
                 6.0                  1.0  0.06799999999999995
               226.0                 16.0  0.06599999999999995
               107.0                  9.0  0.06399999999999995
               339.0                 22.0 0.061999999999999944
                98.0                  8.0  0.05999999999999994
               309.0                 16.0  0.05799999999999994
               167.0                 11.0  0.05599999999999994
               672.0                 32.0  0.05399999999999994
                 2.0                  0.0 0.051999999999999935
               143.0                 12.0  0.04999999999999993
               490.0                 30.0  0.04799999999999993
               255.0                 14.0  0.04599999999999993
               388.0                 26.0  0.04399999999999993
               872.0                 38.0 0.041999999999999926
               218.0                 16.0 0.040000000000000036
                 2.0                  0.0 0.038000000000000034
               562.0                 35.0  0.03600000000000003
               351.0                 25.0  0.03400000000000003
               792.0                 40.0  0.03200000000000003
               541.0                 31.0 0.030000000000000027
               232.0                 14.0 0.028000000000000025
               472.0                 28.0 0.026000000000000023
               165.0                 10.0  0.02400000000000002
               300.0                 25.0  0.02200000000000002
               841.0                 38.0 0.020000000000000018
               679.0                 37.0 0.018000000000000016
               669.0                 40.0 0.016000000000000014
               324.0                 19.0 0.014000000000000012
               752.0                 46.0  0.01200000000000001
              1067.0                 50.0 0.010000000000000009
              1020.0                 50.0 0.008000000000000007
               181.0                 12.0 0.006000000000000005
               882.0                 40.0 0.0040000000000000036
              1518.0                 57.0 0.0020000000000000018
               607.0                 36.0                0.001
               814.0                 41.0                0.001
               732.0                 37.0                0.001
               925.0                 49.0                0.001
               586.0                 34.0                0.001
              1227.0                 56.0                0.001
               957.0                 55.0                0.001
              1045.0                 52.0                0.001
              1031.0                 51.0                0.001
               152.0                 10.0                0.001
              1175.0                 49.0                0.001
               805.0                 43.0                0.001
              1589.0                 64.0                0.001
               298.0                 22.0                0.001
               489.0                 35.0                0.001
               572.0                 34.0                0.001
               995.0                 47.0                0.001
               778.0                 41.0                0.001
              1018.0                 50.0                0.001
              1172.0                 53.0                0.001
               807.0                 38.0                0.001
              1015.0                 49.0                0.001
               778.0                 46.0                0.001
              1168.0                 53.0                0.001
              1148.0                 60.0                0.001
              1110.0                 58.0                0.001
              1331.0                 65.0                0.001
              1034.0                 52.0                0.001
               686.0                 37.0                0.001
               718.0                 42.0                0.001
               952.0                 53.0                0.001
              1210.0                 56.0                0.001
               652.0                 37.0                0.001
               559.0                 30.0                0.001
               711.0                 40.0                0.001
               864.0                 43.0                0.001
               913.0                 48.0                0.001
               798.0                 49.0                0.001
              1341.0                 62.0                0.001
               798.0                 46.0                0.001
               741.0                 42.0                0.001
               745.0                 43.0                0.001
              1076.0                 55.0                0.001
               756.0                 45.0                0.001
               258.0                 19.0                0.001
               931.0                 51.0                0.001
               736.0                 43.0                0.001
               282.0                 21.0                0.001
              1054.0                 52.0                0.001
               384.0                 26.0                0.001
              1145.0                 55.0                0.001
              1782.0                 70.0                0.001
               617.0                 34.0                0.001
               710.0                 39.0                0.001
              1180.0                 62.0                0.001
               537.0                 31.0                0.001
               192.0                 12.0                0.001
               922.0                 44.0                0.001
              1313.0                 69.0                0.001
              1451.0                 79.0                0.001
              1197.0                 59.0                0.001
               931.0                 46.0                0.001
               749.0                 50.0                0.001
              1118.0                 57.0                0.001
              1060.0                 53.0                0.001
               238.0                 18.0                0.001
              1012.0                 54.0                0.001
               379.0                 24.0                0.001
              1401.0                 63.0                0.001
              1189.0                 58.0                0.001
               501.0                 31.0                0.001
               953.0                 49.0                0.001
               625.0                 38.0                0.001
              1002.0                 53.0                0.001
               308.0                 21.0                0.001
              1232.0                 63.0                0.001
               468.0                 27.0                0.001
               474.0                 31.0                0.001
              1209.0                 59.0                0.001
               599.0                 37.0                0.001
              1138.0                 58.0                0.001
               943.0                 52.0                0.001
               821.0                 41.0                0.001
              1119.0                 55.0                0.001
              1143.0                 58.0                0.001
              1645.0                 72.0                0.001
              1007.0                 60.0                0.001
                67.0                  6.0                0.001
              1135.0                 59.0                0.001
              1034.0                 55.0                0.001
               639.0                 34.0                0.001
              1261.0                 60.0                0.001
              1258.0                 66.0                0.001
               497.0                 30.0                0.001
               624.0                 36.0                0.001
               574.0                 37.0                0.001
               487.0                 30.0                0.001
               539.0                 33.0                0.001
              1335.0                 63.0                0.001
              1430.0                 67.0                0.001
               848.0                 50.0                0.001
               921.0                 54.0                0.001
               277.0                 18.0                0.001
               899.0                 44.0                0.001
               857.0                 49.0                0.001
               791.0                 40.0                0.001
               526.0                 27.0                0.001
               318.0                 26.0                0.001
               624.0                 40.0                0.001
              1048.0                 56.0                0.001
               714.0                 45.0                0.001
              1254.0                 63.0                0.001
               963.0                 48.0                0.001
              1164.0                 60.0                0.001
              1378.0                 66.0                0.001
               866.0                 46.0                0.001
               892.0                 48.0                0.001
               766.0                 42.0                0.001
               786.0                 41.0                0.001
               251.0                 20.0                0.001
               963.0                 54.0                0.001
              1006.0                 56.0                0.001
               547.0                 34.0                0.001
              1235.0                 63.0                0.001
               787.0                 44.0                0.001
              1175.0                 56.0                0.001
               745.0                 41.0                0.001
               497.0                 32.0                0.001
               830.0                 51.0                0.001
               381.0                 21.0                0.001
               388.0                 23.0                0.001
              1222.0                 56.0                0.001
               877.0                 47.0                0.001
               153.0                 15.0                0.001
               472.0                 30.0                0.001
               323.0                 20.0                0.001
               414.0                 28.0                0.001
               702.0                 46.0                0.001
               945.0                 51.0                0.001
               895.0                 51.0                0.001
               652.0                 37.0                0.001
               463.0                 31.0                0.001
               989.0                 46.0                0.001
               388.0                 27.0                0.001
               550.0                 32.0                0.001
               164.0                 12.0                0.001
               518.0                 34.0                0.001
               156.0                 12.0                0.001
               566.0                 34.0                0.001
               372.0                 28.0                0.001
               802.0                 43.0                0.001
               418.0                 27.0                0.001
              1279.0                 59.0                0.001
              1240.0                 66.0                0.001
              1035.0                 55.0                0.001
               828.0                 54.0                0.001
               834.0                 47.0                0.001
               675.0                 41.0                0.001
               958.0                 56.0                0.001
              1174.0                 66.0                0.001
               424.0                 33.0                0.001
               928.0                 45.0                0.001
               648.0                 41.0                0.001
              1197.0                 63.0                0.001
              1306.0                 61.0                0.001
              1245.0                 61.0                0.001
               863.0                 42.0                0.001
               823.0                 50.0                0.001
              1396.0                 62.0                0.001
              1046.0                 53.0                0.001
